Date,Close,High,Low,Open,Volume
10-11-2025,414.75,416.5499878,406.5,408.2999878,18276
11-11-2025,422.7000122,423.9500122,410.7000122,414.75,15234
12-11-2025,403.6499939,420.5499878,400.6000061,416,24214
13-11-2025,401.7000122,405.25,398.2999878,402.25,9691
14-11-2025,399.7999878,402.9500122,390,400.2000122,7812
17-11-2025,402.5499878,407.9500122,395.1499939,403.5,7511
18-11-2025,415.3500061,418.4500122,401,404.5499878,6837
19-11-2025,404.5,415.3500061,402.9500122,415.3500061,391
20-11-2025,406.5,408.2999878,404.5,405.7999878,116
21-11-2025,400,402.0499878,383.5,402.0499878,162
24-11-2025,407.4500122,408.5499878,399.8999939,399.8999939,107
25-11-2025,414.2000122,415.0499878,405,409.2000122,111
26-11-2025,411.5,412.3500061,407.5499878,411.9500122,81
28-11-2025,413,412.5,412.3999939,412.5,17
01-12-2025,411.5,407.2000122,405.9500122,407.0499878,35
02-12-2025,405.5499878,410.4500122,404.7999878,409.4500122,31
03-12-2025,403.75,407.3999939,403.7000122,406.9500122,30
04-12-2025,411.9500122,411.1000061,408.75,410,36
05-12-2025,406.25,408.2999878,406.2000122,406.2000122,51
08-12-2025,396.0499878,405.6000061,396.25,403.3999939,33
09-12-2025,394.2000122,402.75,392.25,402.75,16
10-12-2025,400.7999878,405,401.9500122,402.7999878,17
11-12-2025,405.4500122,407.4500122,399.6499939,399.6499939,5
12-12-2025,397.2000122,404.4500122,395.1000061,404.4500122,47
15-12-2025,387.7000122,397.5,386,397.5,11
16-12-2025,379.2999878,383.7999878,382,382,38
17-12-2025,351.8999939,379.2999878,357.1499939,379.2000122,63
18-12-2025,345.4500122,345.4500122,345.4500122,345.4500122,14223
19-12-2025,340.6499939,348.5499878,340,346.6000061,19771
22-12-2025,347.3500061,349.5,339.0499878,341.1000061,13070
23-12-2025,346.9500122,352.3999939,345.6000061,350,11078
24-12-2025,345.1499939,348.6499939,343.0499878,348.1000061,0
26-12-2025,350.25,350.7000122,344.2999878,345.7999878,7348
29-12-2025,352.1499939,354.2999878,347.0499878,349.5,9184
30-12-2025,350.2000122,359.2999878,349.5,350.5499878,11564
31-12-2025,348.75,353.8500061,348.0499878,349.5,0
02-01-2026,357.2999878,358.0499878,345.2000122,348.3999939,11467
05-01-2026,359.3500061,360.6499939,350.6000061,354.5499878,16945
06-01-2026,373.8500061,374.2999878,356.7999878,358.2000122,26360
07-01-2026,375.4500122,382.8500061,371,371.3500061,20432
08-01-2026,372.3500061,383.8500061,371.6499939,373.0499878,15415
09-01-2026,357.6499939,372.8999939,356.0499878,372.3500061,18736
12-01-2026,356.0499878,358.8500061,352.7999878,357.6000061,12670
13-01-2026,360.25,363.5499878,356.6499939,359.0499878,16540
14-01-2026,356,363.3500061,353.75,362.8500061,13983
15-01-2026,358.1000061,359,350.6000061,355.8999939,12328
16-01-2026,355.2999878,361.2999878,354.6000061,358.6000061,10712
20-01-2026,346.5,355.6499939,345.5499878,353.7999878,16721
21-01-2026,347.5,348.2000122,341.7999878,346.2999878,18703
22-01-2026,347.7000122,350.1499939,344.25,346.8999939,12189
23-01-2026,350.8999939,355.3500061,346.8500061,347.75,12669
26-01-2026,356.25,359,351.5,351.5499878,12737
27-01-2026,367.25,370,357,357.2000122,18370
28-01-2026,351,372.5499878,349.7999878,371,21411
29-01-2026,345.5,352.5499878,344.6000061,351.5499878,15059
30-01-2026,332.25,345.5,330.8999939,344.5,25468
02-02-2026,333.25,338.25,331,331.75,16009
03-02-2026,317.1000061,337.75,314.7999878,335.5499878,24083
04-02-2026,308.6499939,324.7999878,307.1000061,319.3999939,29013
05-02-2026,308.3999939,313,301.6000061,310.1499939,24237
06-02-2026,286.7000122,303.4500122,286.6000061,312.0499878,31688
